('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'blend', 'mating_pool_factor': 0.6577990136697419, 'scale': 0.02468588132911425, 'elite_rate': 0.3121946320923225, 'mutation_rate': 0.7816660364111881, 'distribution': 'levy'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.6135923397013294, 'scale': 0.5305453593059107, 'elite_rate': 0.24369494509457582, 'mutation_rate': 0.5784787701107369, 'distribution': 'gaussian'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'single', 'mating_pool_factor': 0.5548903402071174, 'scale': 0.3304413035546438, 'elite_rate': 0.7663195430580847, 'mutation_rate': 0.2963663157166688, 'distribution': 'levy'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'uniform', 'mating_pool_factor': 0.1238245102251315, 'scale': 0.06970689436873487, 'elite_rate': 0.5124099773781194, 'mutation_rate': 0.39247679932097845, 'distribution': 'gaussian'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.786045910965638, 'scale': 0.1336514860265526, 'elite_rate': 0.034472790754350606, 'mutation_rate': 0.2139914656577335, 'distribution': 'levy'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'random', 'crossover': 'two', 'mating_pool_factor': 0.4018526688826387, 'scale': 0.5906060724817622, 'elite_rate': 0.3550512238538246, 'mutation_rate': 0.3561403282645015, 'distribution': 'gaussian'}, 'greedy')
('genetic_algorithm', {'pairing': 'rank', 'crossover': 'single', 'mating_pool_factor': 0.7194971087387735, 'scale': 0.13550568909351604, 'elite_rate': 0.2932708448612175, 'mutation_rate': 0.3273100181516998, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'uniform', 'mating_pool_factor': 0.39670642197014494, 'scale': 0.05645966812517, 'elite_rate': 0.8140568024029482, 'mutation_rate': 0.6288994052969554, 'distribution': 'gaussian'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'rank', 'crossover': 'two', 'mating_pool_factor': 0.5326771401022626, 'scale': 0.650199826803121, 'elite_rate': 0.32208974713677774, 'mutation_rate': 0.835586507273707, 'distribution': 'levy'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_2_50', 'crossover': 'uniform', 'mating_pool_factor': 0.7039067040264929, 'scale': 0.7870298487198683, 'elite_rate': 0.8315979321111938, 'mutation_rate': 0.7849677626674476, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'single', 'mating_pool_factor': 0.31960784030229417, 'scale': 0.7370449722475739, 'elite_rate': 0.6903302945820999, 'mutation_rate': 0.2920855015565855, 'distribution': 'levy'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_50', 'crossover': 'two', 'mating_pool_factor': 0.6467464378393023, 'scale': 0.9535552154844218, 'elite_rate': 0.5243656569066536, 'mutation_rate': 0.8984644721321354, 'distribution': 'uniform'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_50', 'crossover': 'blend', 'mating_pool_factor': 0.3209387946814877, 'scale': 0.34977486263866486, 'elite_rate': 0.21026961232210997, 'mutation_rate': 0.8202778889566715, 'distribution': 'gaussian'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'uniform', 'mating_pool_factor': 0.7266917778867288, 'scale': 0.08627518489998427, 'elite_rate': 0.8962424243796387, 'mutation_rate': 0.8696455607608335, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'blend', 'mating_pool_factor': 0.7414774282846909, 'scale': 0.06697123819128334, 'elite_rate': 0.7996152277328418, 'mutation_rate': 0.16974302637782845, 'distribution': 'uniform'}, 'all')
('genetic_algorithm', {'pairing': 'random', 'crossover': 'two', 'mating_pool_factor': 0.6077918870079985, 'scale': 0.793217223071284, 'elite_rate': 0.883830758447015, 'mutation_rate': 0.7674697131086466, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'blend', 'mating_pool_factor': 0.6509557205853318, 'scale': 0.8154973286545915, 'elite_rate': 0.08302446613144582, 'mutation_rate': 0.13333956237192116, 'distribution': 'levy'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'blend', 'mating_pool_factor': 0.4012844123996179, 'scale': 0.5754552481706722, 'elite_rate': 0.8202755010444719, 'mutation_rate': 0.6323844695597638, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'cost', 'crossover': 'two', 'mating_pool_factor': 0.6770012218543033, 'scale': 0.23673386380847994, 'elite_rate': 0.8996050516393251, 'mutation_rate': 0.2995646306499343, 'distribution': 'uniform'}, 'none')
('genetic_algorithm', {'pairing': 'random', 'crossover': 'uniform', 'mating_pool_factor': 0.7848625175281845, 'scale': 0.27994701168030894, 'elite_rate': 0.5210289954114825, 'mutation_rate': 0.1356510299482419, 'distribution': 'levy'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'two', 'mating_pool_factor': 0.19798859207721967, 'scale': 0.8164113475739697, 'elite_rate': 0.4514339437345428, 'mutation_rate': 0.7735800828253762, 'distribution': 'uniform'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'rank', 'crossover': 'uniform', 'mating_pool_factor': 0.43761947685310476, 'scale': 0.46479373121025336, 'elite_rate': 0.7522591444138624, 'mutation_rate': 0.7590595220785381, 'distribution': 'gaussian'}, 'none')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.333597275225177, 'scale': 0.8035400854665293, 'elite_rate': 0.693226138915451, 'mutation_rate': 0.726818866672084, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'two', 'mating_pool_factor': 0.3246803869990811, 'scale': 0.5561140384491957, 'elite_rate': 0.5945096437700292, 'mutation_rate': 0.5931434053408593, 'distribution': 'uniform'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'single', 'mating_pool_factor': 0.16505982058691987, 'scale': 0.173548191653568, 'elite_rate': 0.7437085333688495, 'mutation_rate': 0.4636515359509459, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'uniform', 'mating_pool_factor': 0.2163138869047326, 'scale': 0.7539075944543365, 'elite_rate': 0.20640782580714923, 'mutation_rate': 0.4507629189020971, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'two', 'mating_pool_factor': 0.5138577511538313, 'scale': 0.9479918918559388, 'elite_rate': 0.4028146922223814, 'mutation_rate': 0.33185138767987066, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'blend', 'mating_pool_factor': 0.4119420604034977, 'scale': 0.7405557871367685, 'elite_rate': 0.09974051765447879, 'mutation_rate': 0.11826575640786155, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'blend', 'mating_pool_factor': 0.5250606566479669, 'scale': 0.4439375347415494, 'elite_rate': 0.20242792813874125, 'mutation_rate': 0.8965185141792834, 'distribution': 'levy'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_50', 'crossover': 'blend', 'mating_pool_factor': 0.8303784331806638, 'scale': 0.8813997878149156, 'elite_rate': 0.6309923357743996, 'mutation_rate': 0.10884239203968109, 'distribution': 'uniform'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_2_50', 'crossover': 'blend', 'mating_pool_factor': 0.5512775114649449, 'scale': 0.5019383126677482, 'elite_rate': 0.7776638998498077, 'mutation_rate': 0.7774079294920914, 'distribution': 'uniform'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'two', 'mating_pool_factor': 0.8523970798065001, 'scale': 0.20925951620691322, 'elite_rate': 0.42074707915539694, 'mutation_rate': 0.3856116823084993, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'rank', 'crossover': 'two', 'mating_pool_factor': 0.6229858777572055, 'scale': 0.5712154204528538, 'elite_rate': 0.8690619360838305, 'mutation_rate': 0.6392004367375939, 'distribution': 'uniform'}, 'greedy')
('genetic_algorithm', {'pairing': 'random', 'crossover': 'blend', 'mating_pool_factor': 0.38834185408163757, 'scale': 0.7351213867740792, 'elite_rate': 0.8450853538277082, 'mutation_rate': 0.3022021531512442, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.7874064851513553, 'scale': 0.19311977011928114, 'elite_rate': 0.8771589483434371, 'mutation_rate': 0.7825037360514032, 'distribution': 'uniform'}, 'all')
('genetic_algorithm', {'pairing': 'cost', 'crossover': 'uniform', 'mating_pool_factor': 0.6698146939129406, 'scale': 0.3512583355386892, 'elite_rate': 0.09616580063262868, 'mutation_rate': 0.40060547582340367, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.5029223880175159, 'scale': 0.9275551651516303, 'elite_rate': 0.1548425627043416, 'mutation_rate': 0.2773657854922957, 'distribution': 'levy'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'uniform', 'mating_pool_factor': 0.1570712005387137, 'scale': 0.41846311935862907, 'elite_rate': 0.11798887306827449, 'mutation_rate': 0.2632111279383128, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.6409403337932711, 'scale': 0.4085772285993994, 'elite_rate': 0.5960670170104316, 'mutation_rate': 0.5104347663755068, 'distribution': 'gaussian'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_2_50', 'crossover': 'two', 'mating_pool_factor': 0.8345565902738066, 'scale': 0.5176367399700706, 'elite_rate': 0.09276567232812469, 'mutation_rate': 0.23133187008214204, 'distribution': 'gaussian'}, 'none')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'blend', 'mating_pool_factor': 0.5799903862792565, 'scale': 0.7521491879495441, 'elite_rate': 0.49795166147465314, 'mutation_rate': 0.7924526441762653, 'distribution': 'uniform'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'blend', 'mating_pool_factor': 0.5753271411290345, 'scale': 0.9722280592403187, 'elite_rate': 0.29637189562913985, 'mutation_rate': 0.1676265588401919, 'distribution': 'levy'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'blend', 'mating_pool_factor': 0.2411226816448527, 'scale': 0.966371088126176, 'elite_rate': 0.13164115558635986, 'mutation_rate': 0.3283928807350599, 'distribution': 'uniform'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.58090457998644, 'scale': 0.726839145676816, 'elite_rate': 0.6799749515707866, 'mutation_rate': 0.17359444900744206, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'cost', 'crossover': 'uniform', 'mating_pool_factor': 0.4492941210966742, 'scale': 0.5718810066297921, 'elite_rate': 0.08522166369452042, 'mutation_rate': 0.5441099414681906, 'distribution': 'gaussian'}, 'none')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'two', 'mating_pool_factor': 0.2089656094035262, 'scale': 0.992510191431725, 'elite_rate': 0.18654500061822385, 'mutation_rate': 0.7469300749228592, 'distribution': 'gaussian'}, 'none')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'two', 'mating_pool_factor': 0.22134356136888944, 'scale': 0.20833576360903394, 'elite_rate': 0.4918082949094144, 'mutation_rate': 0.6316720693631461, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'even-odd', 'crossover': 'two', 'mating_pool_factor': 0.41512147463100946, 'scale': 0.797317360899682, 'elite_rate': 0.7265741352921034, 'mutation_rate': 0.16689174642135263, 'distribution': 'levy'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'single', 'mating_pool_factor': 0.27410088552494083, 'scale': 0.7716808092563741, 'elite_rate': 0.022119044321593184, 'mutation_rate': 0.8735291023468711, 'distribution': 'levy'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'uniform', 'mating_pool_factor': 0.4284991500803432, 'scale': 0.41221657204479045, 'elite_rate': 0.01576486613897324, 'mutation_rate': 0.3707736000270162, 'distribution': 'gaussian'}, 'none')
('genetic_algorithm', {'pairing': 'random', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.7132399696263373, 'scale': 0.8376098727304958, 'elite_rate': 0.7300256591776139, 'mutation_rate': 0.3835248632786036, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.5837647595131512, 'scale': 0.4229679114747733, 'elite_rate': 0.23277770929255198, 'mutation_rate': 0.1402686053833792, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.1522368387552615, 'scale': 0.6015870911300019, 'elite_rate': 0.1948919260233553, 'mutation_rate': 0.8763973531379715, 'distribution': 'levy'}, 'none')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'two', 'mating_pool_factor': 0.2534649087305094, 'scale': 0.3250903870777719, 'elite_rate': 0.6640367561795567, 'mutation_rate': 0.39455715815194614, 'distribution': 'gaussian'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'two', 'mating_pool_factor': 0.14900692322727188, 'scale': 0.3213513047729193, 'elite_rate': 0.48239378967064694, 'mutation_rate': 0.8347880102677867, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.29038810843294727, 'scale': 0.17777411239601024, 'elite_rate': 0.617958505620554, 'mutation_rate': 0.4019079890720615, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'uniform', 'mating_pool_factor': 0.35326784817318213, 'scale': 0.3387820046343227, 'elite_rate': 0.13671733946950826, 'mutation_rate': 0.614520724388467, 'distribution': 'levy'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'two', 'mating_pool_factor': 0.42224860958612476, 'scale': 0.5453037418654262, 'elite_rate': 0.8890257574535197, 'mutation_rate': 0.5681896367372988, 'distribution': 'uniform'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'uniform', 'mating_pool_factor': 0.3158938653868869, 'scale': 0.6272718450211069, 'elite_rate': 0.13755713209462603, 'mutation_rate': 0.16050668370598606, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'two', 'mating_pool_factor': 0.8616916846820487, 'scale': 0.8247116225732841, 'elite_rate': 0.05724303838562862, 'mutation_rate': 0.718084837426856, 'distribution': 'levy'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'two', 'mating_pool_factor': 0.3984705227695281, 'scale': 0.6331507589709453, 'elite_rate': 0.20714817757852302, 'mutation_rate': 0.7410647696339714, 'distribution': 'uniform'}, 'metropolis')
('genetic_algorithm', {'pairing': 'random', 'crossover': 'single', 'mating_pool_factor': 0.5037419296677514, 'scale': 0.9111719242173205, 'elite_rate': 0.12810880591331064, 'mutation_rate': 0.5616980953178355, 'distribution': 'uniform'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_50', 'crossover': 'uniform', 'mating_pool_factor': 0.19998465918035058, 'scale': 0.23960754397481776, 'elite_rate': 0.17703427997271717, 'mutation_rate': 0.5083678345139951, 'distribution': 'uniform'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_2_50', 'crossover': 'single', 'mating_pool_factor': 0.47267020638232315, 'scale': 0.6093170480777691, 'elite_rate': 0.7127084917888467, 'mutation_rate': 0.10793575200844249, 'distribution': 'uniform'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.19068714427658806, 'scale': 0.27807265914722956, 'elite_rate': 0.4788034512743634, 'mutation_rate': 0.8471566609514185, 'distribution': 'levy'}, 'metropolis')
('genetic_algorithm', {'pairing': 'even-odd', 'crossover': 'two', 'mating_pool_factor': 0.4047829475461192, 'scale': 0.4749650035449436, 'elite_rate': 0.38103684783508307, 'mutation_rate': 0.49213711157082973, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'rank', 'crossover': 'blend', 'mating_pool_factor': 0.11972553244451939, 'scale': 0.5250281742616901, 'elite_rate': 0.15721451812281928, 'mutation_rate': 0.362419440885959, 'distribution': 'uniform'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'two', 'mating_pool_factor': 0.7630588548296592, 'scale': 0.7258862363574251, 'elite_rate': 0.6206602848107405, 'mutation_rate': 0.8635517321867875, 'distribution': 'uniform'}, 'metropolis')
('genetic_algorithm', {'pairing': 'rank', 'crossover': 'blend', 'mating_pool_factor': 0.5557948178243376, 'scale': 0.07301429467834598, 'elite_rate': 0.17565077346182245, 'mutation_rate': 0.5847685217775284, 'distribution': 'levy'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'cost', 'crossover': 'uniform', 'mating_pool_factor': 0.18208604504375814, 'scale': 0.10819267337408445, 'elite_rate': 0.6445499464255967, 'mutation_rate': 0.6106208993364068, 'distribution': 'uniform'}, 'metropolis')
('genetic_algorithm', {'pairing': 'rank', 'crossover': 'blend', 'mating_pool_factor': 0.377860044285363, 'scale': 0.17673773610735025, 'elite_rate': 0.017335554755622092, 'mutation_rate': 0.8612574957810869, 'distribution': 'uniform'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'two', 'mating_pool_factor': 0.6101881504044137, 'scale': 0.07864648190287088, 'elite_rate': 0.8035076921700257, 'mutation_rate': 0.7175426840112186, 'distribution': 'gaussian'}, 'none')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'blend', 'mating_pool_factor': 0.2947009243768136, 'scale': 0.40748792360383307, 'elite_rate': 0.4572147806663238, 'mutation_rate': 0.6058956434804126, 'distribution': 'gaussian'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_2_50', 'crossover': 'blend', 'mating_pool_factor': 0.13027597030868124, 'scale': 0.8231889316759649, 'elite_rate': 0.2360275366255203, 'mutation_rate': 0.10871464627203482, 'distribution': 'uniform'}, 'metropolis')
('genetic_algorithm', {'pairing': 'random', 'crossover': 'two', 'mating_pool_factor': 0.2644964956571093, 'scale': 0.6761423907437559, 'elite_rate': 0.1711237516703467, 'mutation_rate': 0.2536890779387324, 'distribution': 'uniform'}, 'none')
('genetic_algorithm', {'pairing': 'random', 'crossover': 'two', 'mating_pool_factor': 0.2765182599089876, 'scale': 0.7143970700154587, 'elite_rate': 0.33027386375590995, 'mutation_rate': 0.6569643164338028, 'distribution': 'levy'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'blend', 'mating_pool_factor': 0.18081564912253886, 'scale': 0.8384836324566152, 'elite_rate': 0.7152732985384747, 'mutation_rate': 0.12862663714790976, 'distribution': 'uniform'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'single', 'mating_pool_factor': 0.592676686931476, 'scale': 0.6540182619065412, 'elite_rate': 0.02492445604636749, 'mutation_rate': 0.3701723990332323, 'distribution': 'levy'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'blend', 'mating_pool_factor': 0.45839101306726715, 'scale': 0.14196478262804005, 'elite_rate': 0.41679322139542246, 'mutation_rate': 0.40107513544428486, 'distribution': 'levy'}, 'none')
('genetic_algorithm', {'pairing': 'rank', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.46516668264663663, 'scale': 0.20342639528946463, 'elite_rate': 0.8591867789923792, 'mutation_rate': 0.8328512730545208, 'distribution': 'levy'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'two', 'mating_pool_factor': 0.4953344931515221, 'scale': 0.6613116198395591, 'elite_rate': 0.1921191374923145, 'mutation_rate': 0.5450957980794604, 'distribution': 'levy'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'blend', 'mating_pool_factor': 0.3163611309807325, 'scale': 0.7052425661200631, 'elite_rate': 0.45529089105774206, 'mutation_rate': 0.16624046686069546, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_50', 'crossover': 'two', 'mating_pool_factor': 0.38671066266726783, 'scale': 0.2932184817225912, 'elite_rate': 0.15291136101361125, 'mutation_rate': 0.3265662984887821, 'distribution': 'gaussian'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'even-odd', 'crossover': 'uniform', 'mating_pool_factor': 0.6377477297967885, 'scale': 0.9818174425670614, 'elite_rate': 0.33935310394913903, 'mutation_rate': 0.6385274330267331, 'distribution': 'uniform'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_2_75', 'crossover': 'single', 'mating_pool_factor': 0.24317955543931635, 'scale': 0.934274576255862, 'elite_rate': 0.6525712155921781, 'mutation_rate': 0.46131900208438903, 'distribution': 'uniform'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_2_50', 'crossover': 'single', 'mating_pool_factor': 0.2452251906278712, 'scale': 0.14955809250450236, 'elite_rate': 0.5819209971126105, 'mutation_rate': 0.7165515986361396, 'distribution': 'uniform'}, 'none')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'single', 'mating_pool_factor': 0.35901065487378225, 'scale': 0.8472174831662662, 'elite_rate': 0.25020847091302456, 'mutation_rate': 0.6552089661177558, 'distribution': 'gaussian'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'random', 'crossover': 'two', 'mating_pool_factor': 0.21455238782752203, 'scale': 0.19418417874865782, 'elite_rate': 0.3048726991302465, 'mutation_rate': 0.8791485196867563, 'distribution': 'uniform'}, 'all')
('genetic_algorithm', {'pairing': 'rank', 'crossover': 'blend', 'mating_pool_factor': 0.6301510268241068, 'scale': 0.16568324899007078, 'elite_rate': 0.15626294857825948, 'mutation_rate': 0.4085042218220537, 'distribution': 'gaussian'}, 'metropolis')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'blend', 'mating_pool_factor': 0.2978017009456261, 'scale': 0.27477409584900286, 'elite_rate': 0.5120751827501593, 'mutation_rate': 0.3893145769366916, 'distribution': 'uniform'}, 'probabilistic')
('genetic_algorithm', {'pairing': 'tournament_3_100', 'crossover': 'blend', 'mating_pool_factor': 0.392681106998667, 'scale': 0.06235033788011484, 'elite_rate': 0.06508621642157088, 'mutation_rate': 0.22709163334930316, 'distribution': 'gaussian'}, 'all')
('genetic_algorithm', {'pairing': 'rank', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.22454429344119167, 'scale': 0.101709187532146, 'elite_rate': 0.3255333969203597, 'mutation_rate': 0.5130742697855845, 'distribution': 'gaussian'}, 'greedy')
('genetic_algorithm', {'pairing': 'tournament_2_100', 'crossover': 'blend', 'mating_pool_factor': 0.542657356990997, 'scale': 0.1075097615446515, 'elite_rate': 0.8874435970586222, 'mutation_rate': 0.13738016647958196, 'distribution': 'levy'}, 'all')
('genetic_algorithm', {'pairing': 'tournament_3_75', 'crossover': 'two', 'mating_pool_factor': 0.7611388167115488, 'scale': 0.9206928399258438, 'elite_rate': 0.574346837078566, 'mutation_rate': 0.8895746948355961, 'distribution': 'gaussian'}, 'probabilistic')
